sid_index	SNP	Chr	GenDist	ChrPos	PValue	SnpWeight	SnpWeightSE	SnpFractVarExpl	Mixing	Nullh2
229	snp2546	9	2290	2290	3.92978510509e-07	-0.36022038928	0.0705412301317	0.159572866521	0.0	0.470872
805	snp8233	9	8050	8050	6.16541722717e-07	0.354163687605	0.0705719535701	0.156889827812	0.0	0.470872
543	snp5439	9	5430	5430	6.45628587427e-07	0.353537991916	0.0705750970525	0.1566126529	0.0	0.470872
905	snp9186	9	9050	9050	1.06689678302e-06	0.346648745446	0.0706093318892	0.153560807863	0.0	0.470872
815	snp8320	9	8150	8150	1.79261177823e-06	0.339387959028	0.070644666452	0.150344375544	0.0	0.470872
218	snp2393	9	2180	2180	4.48158139658e-06	0.326184268878	0.070706962308	0.144495315501	0.0	0.470872
25	csnp347	9	250	250	6.33042574359e-06	-0.321071348787	0.0707304073018	0.142230359547	0.0	0.470872
467	snp4742	9	4670	4670	8.82985747215e-06	0.316070175462	0.0707529741987	0.140014905933	0.0	0.470872
876	snp8884	9	8760	8760	9.00271610448e-06	0.315776465753	0.0707542882754	0.139884796417	0.0	0.470872
411	snp4225	9	4110	4110	1.27001274659e-05	0.310519609258	0.0707775971324	0.137556078542	0.0	0.470872
666	snp6572	9	6660	6660	1.37124943582e-05	-0.309336265722	0.0707827890678	0.137031873012	0.0	0.470872
149	snp1554	9	1490	1490	1.45028104477e-05	0.308468960941	0.0707865815494	0.136647668469	0.0	0.470872
614	snp6137	9	6140	6140	1.57169918316e-05	0.307220469829	0.070792021801	0.136094603424	0.0	0.470872
968	snp9744	9	9680	9680	1.9127804552e-05	0.304150192892	0.0708053048126	0.134734511363	0.0	0.470872
380	snp3950	9	3800	3800	2.01547113611e-05	0.303327707794	0.0708088400724	0.134370161346	0.0	0.470872
621	snp6209	9	6210	6210	2.44548519492e-05	-0.300267571663	0.0708219077525	0.133014561528	0.0	0.470872
32	csnp421	9	320	320	3.3346935778e-05	0.295297560846	0.0708428437786	0.130812912492	0.0	0.470872
831	snp8477	9	8310	8310	4.08164470995e-05	0.292015690981	0.0708564736845	0.129359087563	0.0	0.470872
965	snp9718	9	9650	9650	4.69569326729e-05	-0.289719603952	0.0708659174403	0.128341951387	0.0	0.470872
237	snp2629	9	2370	2370	6.08514255397e-05	-0.285427331651	0.0708833682127	0.126440531547	0.0	0.470872
1012	snp10214	9	10120	10120	6.49781957936e-05	0.284331152927	0.0708877824306	0.125954938876	0.0	0.470872
545	snp5498	9	5450	5450	7.29863357772e-05	0.282379849054	0.0708955974612	0.125090537077	0.0	0.470872
265	snp2904	9	2650	2650	8.90444712272e-05	-0.279011523746	0.0709089590787	0.123598413531	0.0	0.470872
30	csnp399	9	300	300	0.000102147653402	-0.276664008096	0.0709181750243	0.122558495157	0.0	0.470872
462	snp4711	9	4620	4620	0.00011151886343	0.275153352375	0.0709240637963	0.121889294659	0.0	0.470872
798	snp8179	9	7980	7980	0.000127022839033	0.272898735292	0.0709327917767	0.120890529121	0.0	0.470872
230	snp2548	9	2300	2300	0.000133261579802	0.272063932696	0.0709360049423	0.120520722616	0.0	0.470872
620	snp6192	9	6200	6200	0.000139136281631	-0.271310799103	0.0709388951919	0.120187094399	0.0	0.470872
675	snp6643	9	6750	6750	0.000150997329707	-0.269877271794	0.0709443740803	0.119552060767	0.0	0.470872
119	snp1281	9	1190	1190	0.000154212810692	-0.269506898987	0.0709457848447	0.119387990514	0.0	0.470872
645	snp6374	9	6450	6450	0.000154714222746	0.269449799443	0.0709460021642	0.119362696172	0.0	0.470872
10	csnp91	9	100	100	0.000169501289947	0.267839589158	0.0709521113551	0.11864939432	0.0	0.470872
603	snp6085	9	6030	6030	0.000185201557756	0.266268384979	0.0709580367554	0.117953371656	0.0	0.470872
400	snp4103	9	4000	4000	0.000236317546563	0.261900743882	0.070974322514	0.116018564437	0.0	0.470872
68	snp822	9	680	680	0.000322798546015	0.256213269742	0.0709951204077	0.113499088641	0.0	0.470872
36	csnp483	9	360	360	0.00033162826968	0.255715684792	0.0709969179636	0.113278665092	0.0	0.470872
541	snp5396	9	5410	5410	0.00034558923458	-0.254953646502	0.0709996640117	0.112941092212	0.0	0.470872
951	snp9562	9	9510	9510	0.000361250458166	-0.254132293826	0.071002614507	0.112577243843	0.0	0.470872
1001	snp10111	9	10010	10010	0.000379007247125	0.253240327881	0.0710058077403	0.112182114731	0.0	0.470872
799	snp8198	9	7990	7990	0.000386166604408	0.252891689701	0.0710070527724	0.11202767263	0.0	0.470872
755	snp7671	9	7550	7550	0.000393129409098	0.252558360919	0.0710082415084	0.111880012389	0.0	0.470872
992	snp10016	9	9920	9920	0.000449372608771	0.250051428797	0.0710171310023	0.110769474628	0.0	0.470872
27	csnp352	9	270	270	0.000476230385505	-0.248955982797	0.0710209872287	0.110284206543	0.0	0.470872
461	snp4696	9	4610	4610	0.000500110528432	0.248029283102	0.0710242360465	0.109873690839	0.0	0.470872
767	snp7840	9	7670	7670	0.000531771410607	-0.246862202083	0.0710283101441	0.109356689389	0.0	0.470872
439	snp4512	9	4390	4390	0.000566449799486	0.245655869235	0.071032500824	0.108822299897	0.0	0.470872
437	snp4501	9	4370	4370	0.000595145230429	0.244708512287	0.0710357772843	0.108402633304	0.0	0.470872
298	snp3174	9	2980	2980	0.000621953745696	-0.243861057201	0.0710386973761	0.108027221913	0.0	0.470872
894	snp9077	9	8940	8940	0.000641848760089	0.243253811779	0.0710407834694	0.107758220225	0.0	0.470872
715	snp7209	9	7150	7150	0.000689891484447	0.241856582709	0.0710455634408	0.107139266233	0.0	0.470872
397	snp4061	9	3970	3970	0.000695879629401	0.241688805386	0.0710461355399	0.107064943099	0.0	0.470872
475	snp4845	9	4750	4750	0.000704250387541	-0.241456503035	0.0710469269981	0.106962036231	0.0	0.470872
208	snp2240	9	2080	2080	0.000706622792806	0.241391130818	0.0710471495835	0.106933077204	0.0	0.470872
217	snp2353	9	2170	2170	0.000714360803898	0.241179314237	0.0710478703777	0.106839245261	0.0	0.470872
390	snp4007	9	3900	3900	0.000778762330876	0.239494636258	0.0710535804083	0.106092955205	0.0	0.470872
221	snp2411	9	2210	2210	0.000904124478557	-0.236556204885	0.071063443027	0.104791268984	0.0	0.470872
731	snp7412	9	7310	7310	0.000924186941708	-0.236121389021	0.0710648919963	0.10459865131	0.0	0.470872
939	snp9498	9	9390	9390	0.000934266149668	0.235906227117	0.0710656079995	0.104503337433	0.0	0.470872
880	snp8895	9	8800	8800	0.00095213537588	0.235529995027	0.0710668584168	0.104336671595	0.0	0.470872
284	snp3056	9	2840	2840	0.00108910332369	0.232845479214	0.0710757219194	0.103147466607	0.0	0.470872
677	snp6678	9	6770	6770	0.0011450653712	-0.231837599357	0.0710790231337	0.102700989165	0.0	0.470872
58	snp721	9	580	580	0.00115180685995	-0.231719269312	0.0710794097631	0.102648570521	0.0	0.470872
556	snp5597	9	5560	5560	0.00118692606766	0.231112988761	0.0710813875836	0.102379996258	0.0	0.470872
578	snp5827	9	5780	5780	0.00122091512773	-0.230541777199	0.0710832462104	0.102126957094	0.0	0.470872
74	snp872	9	740	740	0.00123175541754	-0.230362680862	0.0710838280028	0.102047619786	0.0	0.470872
554	snp5563	9	5540	5540	0.00124847446678	0.230089288795	0.0710847152327	0.101926510718	0.0	0.470872
803	snp8228	9	8030	8030	0.00131355545512	0.229056255235	0.0710880580899	0.101468890518	0.0	0.470872
368	snp3859	9	3680	3680	0.00136412864524	0.228285574872	0.0710905420834	0.101127489314	0.0	0.470872
294	snp3134	9	2940	2940	0.00155662082116	0.2255745209	0.0710992129263	0.0999265282732	0.0	0.470872
730	snp7409	9	7300	7300	0.00157458864342	0.225337454533	0.0710999661675	0.0998215110094	0.0	0.470872
583	snp5942	9	5830	5830	0.00172069555674	-0.223497074241	0.0711057864776	0.0990062468892	0.0	0.470872
350	snp3614	9	3500	3500	0.00183024960514	0.222209021823	0.0711098313449	0.0984356567097	0.0	0.470872
1017	snp10270	9	10170	10170	0.00183162097086	-0.222193351544	0.0711098804089	0.0984287149835	0.0	0.470872
281	snp3036	9	2810	2810	0.0018741572563	-0.221712566602	0.0711113840588	0.0982157336153	0.0	0.470872
430	snp4412	9	4300	4300	0.0019991945268	-0.220355089187	0.0711156118037	0.0976143890806	0.0	0.470872
1033	snp10409	9	10330	10330	0.0020453770341	0.219873323101	0.0711171059194	0.0974009730784	0.0	0.470872
197	snp2089	9	1970	1970	0.00208205306164	-0.219497774694	0.0711182683292	0.0972346101031	0.0	0.470872
187	snp1953	9	1870	1870	0.00217431672146	0.21857916799	0.0711211031763	0.0968276794868	0.0	0.470872
20	csnp236	9	200	200	0.00219310993604	0.218396441288	0.0711216656451	0.0967467339756	0.0	0.470872
447	snp4572	9	4470	4470	0.00224400716854	0.217908668472	0.0711231647805	0.0965306570715	0.0	0.470872
270	snp2949	9	2700	2700	0.00228849833534	0.217490509684	0.0711244472685	0.0963454182608	0.0	0.470872
937	snp9493	9	9370	9370	0.00231902018651	-0.21720792334	0.0711253125495	0.0962202362494	0.0	0.470872
690	snp6902	9	6900	6900	0.00237607833039	-0.216688653248	0.0711268995971	0.0959902064686	0.0	0.470872
70	snp830	9	700	700	0.00240471326402	0.216432336755	0.0711276815651	0.0958766616535	0.0	0.470872
913	snp9252	9	9130	9130	0.00252951710212	-0.215346792177	0.0711309829795	0.095395779768	0.0	0.470872
952	snp9578	9	9520	9520	0.00256819921912	0.215020260632	0.0711319727666	0.0952511306137	0.0	0.470872
572	snp5719	9	5720	5720	0.00287709199522	0.21256283887	0.0711393731165	0.0941625252864	0.0	0.470872
71	snp837	9	710	710	0.00302695683915	0.211456173816	0.0711426777314	0.0936722873091	0.0	0.470872
721	snp7307	9	7210	7210	0.00315397290896	-0.210556638238	0.0711453510153	0.0932738049496	0.0	0.470872
321	snp3412	9	3210	3210	0.0031985777251	0.210248555745	0.071146263947	0.0931373284812	0.0	0.470872
137	snp1444	9	1370	1370	0.00326180923616	-0.20981845255	0.0711475362036	0.0929467984563	0.0	0.470872
491	snp4986	9	4910	4910	0.00327508771445	-0.209729096446	0.0711478001916	0.0929072148844	0.0	0.470872
637	snp6316	9	6370	6370	0.00335578951996	-0.209193005006	0.0711493816046	0.0926697334694	0.0	0.470872
557	snp5598	9	5570	5570	0.00338075630359	0.209029527664	0.0711498630332	0.0925973151699	0.0	0.470872
451	snp4597	9	4510	4510	0.00343174798846	-0.208699026688	0.0711508351743	0.0924509076103	0.0	0.470872
132	snp1413	9	1320	1320	0.0034918351028	-0.208315255025	0.07115196206	0.0922809018408	0.0	0.470872
