sid_index	SNP	Chr	GenDist	ChrPos	PValue	SnpWeight	SnpWeightSE	SnpFractVarExpl	Mixing	Nullh2
34	csnp345	8	340	340	8.2607202339e-10	-0.439724749036	0.0709243506935	0.192581110353	0.0	0.482879
556	snp5604	8	5560	5560	5.33934946291e-07	0.36019795302	0.0713723076298	0.157751688736	0.0	0.482879
924	snp9097	8	9240	9240	2.59566467829e-06	0.337950925874	0.071481250403	0.148008418204	0.0	0.482879
266	snp2679	8	2660	2660	4.13395821841e-06	0.331127108998	0.0715132433525	0.145019870859	0.0	0.482879
558	snp5611	8	5580	5580	4.41646914433e-06	-0.330146796996	0.0715177847018	0.144590535066	0.0	0.482879
134	snp1420	8	1340	1340	4.55958847373e-06	-0.329672849771	0.0715199753568	0.144382965938	0.0	0.482879
127	snp1326	8	1270	1270	5.43242801905e-06	0.327058084145	0.0715320034235	0.143237807589	0.0	0.482879
11	csnp130	8	110	110	7.77838896087e-06	-0.321635534081	0.0715566358674	0.140862956698	0.0	0.482879
573	snp5779	8	5730	5730	8.60733442368e-06	-0.32008987635	0.0715635802084	0.140186023042	0.0	0.482879
53	snp523	8	530	530	1.11223277386e-05	0.316144955517	0.0715811493212	0.138458312159	0.0	0.482879
2	csnp14	8	20	20	1.41410191659e-05	-0.312406465949	0.0715975940948	0.136821009565	0.0	0.482879
882	snp8784	8	8820	8820	1.93516041853e-05	0.307457451718	0.0716190571233	0.13465354763	0.0	0.482879
1041	snp10413	8	10410	10410	2.23593408709e-05	-0.305152638711	0.0716289335709	0.133644135608	0.0	0.482879
983	snp9667	8	9830	9830	3.43030836492e-05	-0.298225847364	0.0716581605756	0.130610489738	0.0	0.482879
599	snp6055	8	5990	5990	3.97811695897e-05	-0.295792385386	0.0716682663018	0.129544734829	0.0	0.482879
298	snp2963	8	2980	2980	5.00864705633e-05	-0.291971013635	0.0716839658381	0.127871133294	0.0	0.482879
1028	snp10204	8	10280	10280	5.38326658659e-05	0.290764788171	0.0716888783402	0.127342856822	0.0	0.482879
133	snp1419	8	1330	1330	5.46835220511e-05	0.2905019174	0.0716899461704	0.127227730382	0.0	0.482879
45	csnp449	8	450	450	7.31001915358e-05	-0.285595458484	0.071709697005	0.1250789059	0.0	0.482879
758	snp7619	8	7580	7580	7.84082073403e-05	0.284398754389	0.0717144624599	0.124554799391	0.0	0.482879
104	snp966	8	1040	1040	8.74431535787e-05	-0.282527502459	0.0717218733285	0.123735269047	0.0	0.482879
177	snp1820	8	1770	1770	8.97785473889e-05	-0.282073535873	0.0717236637199	0.123536450607	0.0	0.482879
716	snp7225	8	7160	7160	9.52987845117e-05	-0.281043265858	0.0717277161382	0.123085235286	0.0	0.482879
789	snp7876	8	7890	7890	0.000110119998481	-0.278532772269	0.0717375277642	0.121985743743	0.0	0.482879
39	csnp409	8	390	390	0.000112920655272	0.278094457643	0.0717392316414	0.121793780208	0.0	0.482879
585	snp5893	8	5850	5850	0.000125522173343	-0.276240970885	0.071746406662	0.120982030269	0.0	0.482879
30	csnp327	8	300	300	0.000152500948455	0.272799783887	0.0717595987105	0.119474933809	0.0	0.482879
102	snp960	8	1020	1020	0.000192666077304	0.26861388386	0.0717754195548	0.117641684084	0.0	0.482879
475	snp4816	8	4750	4750	0.000195211332461	-0.268377120243	0.071776307003	0.117537991489	0.0	0.482879
784	snp7845	8	7840	7840	0.000196219333125	0.268284154331	0.0717766552451	0.117497276295	0.0	0.482879
111	snp1060	8	1110	1110	0.000202934348026	-0.267676039338	0.0717789301729	0.117230947277	0.0	0.482879
840	snp8393	8	8400	8400	0.000226251000736	-0.26570175	0.0717862798113	0.116366290844	0.0	0.482879
289	snp2921	8	2890	2890	0.000265725950593	-0.262757622567	0.0717971373999	0.115076885754	0.0	0.482879
305	snp3069	8	3050	3050	0.000293741017111	0.260907324857	0.0718038983387	0.114266532485	0.0	0.482879
723	snp7310	8	7230	7230	0.000313107413684	0.259722432335	0.0718082024785	0.113747598952	0.0	0.482879
646	snp6583	8	6460	6460	0.000314620389755	-0.259632773306	0.0718085273585	0.113708332035	0.0	0.482879
449	snp4614	8	4490	4490	0.000361112450951	-0.2570573072	0.0718178110635	0.112580385238	0.0	0.482879
158	snp1679	8	1580	1580	0.000400717676863	-0.255096974314	0.0718248145897	0.111721841149	0.0	0.482879
288	snp2917	8	2880	2880	0.00047045077629	0.252047824288	0.0718356001599	0.11038644054	0.0	0.482879
717	snp7243	8	7170	7170	0.000553858864379	-0.248911164923	0.0718465582823	0.109012714488	0.0	0.482879
330	snp3397	8	3300	3300	0.000557964202042	-0.248768402305	0.0718470537283	0.108950190413	0.0	0.482879
514	snp5163	8	5140	5140	0.000636512600553	-0.246209738452	0.0718558845896	0.107829602302	0.0	0.482879
540	snp5450	8	5400	5400	0.000663410178749	-0.245400738704	0.0718586575155	0.107475294135	0.0	0.482879
869	snp8656	8	8690	8690	0.000670974744487	-0.245178706156	0.071859416939	0.107378053134	0.0	0.482879
1039	snp10394	8	10390	10390	0.000699814776908	0.244352989526	0.0718622350566	0.10701642367	0.0	0.482879
536	snp5421	8	5360	5360	0.000711512651973	0.244027041657	0.0718633448482	0.106873672091	0.0	0.482879
